year,city,country,city_avg_temp,global_avg_temp
1994,Istanbul,Turkey,14.88,9.04
1995,Istanbul,Turkey,14.14,9.35
1996,Istanbul,Turkey,13.77,9.04
1997,Istanbul,Turkey,13.16,9.2
1998,Istanbul,Turkey,14.48,9.52
1999,Istanbul,Turkey,15,9.29
2000,Istanbul,Turkey,14.29,9.2
2001,Istanbul,Turkey,15.11,9.41
2002,Istanbul,Turkey,14.51,9.57
2003,Istanbul,Turkey,13.91,9.53
2004,Istanbul,Turkey,14.23,9.32
2005,Istanbul,Turkey,14.23,9.7
2006,Istanbul,Turkey,14.11,9.53
2007,Istanbul,Turkey,14.98,9.73
2008,Istanbul,Turkey,14.91,9.43
2009,Istanbul,Turkey,14.95,9.51
2010,Istanbul,Turkey,15.6,9.7
2011,Istanbul,Turkey,13.65,9.52
2012,Istanbul,Turkey,14.97,9.51
2013,Istanbul,Turkey,16.02,9.61
